feature	weight
TSPO	0
LOC114670714	0
C10H22orf46	0
RANGAP1	0
ADSL	0
GRAP2	0
ENTHD1	0
LOC107000666	0
APOBEC3H	-0.0239293080963957
APOBEC3G	-0.0817712999793346
APOBEC3C	0
LOC698693	0
IL2RB	0
APOL2	-0.127099390045763
RBFOX2	0
APOL6	0
MB	0
RASD2	0
MCM5	0
HMOX1	0
LARGE1	0
LOC114670371	0
LOC106996637	0
PLA2G3	0
LOC114670375	0
LOC107000648	0
GAL3ST1	0
OSM	0
LIF	0
HORMAD2	0
TTC28	0
GRK3	0
LOC106995580	0
LOC711158	0
LOC114670535	0
LOC107000597	0
DERL3	0
GSTT1	0
LOC114670537	0
LOC114670301	0
LOC114670304	0
LOC708771	0
LOC107000555	0
LOC106996055	0
LOC106992418	0
MIR650A-2	0
LOC698810	0
LOC114669724	0
GP1BB	0
CDC45	0
USP18	0
LOC100426034	0
LOC717831	0
LOC696937	0
LOC106992403	0
LOC114670417	0
LOC106996538	0
CST7	0
LOC114670423	0
SYNDIG1	0
CST3	0
THBD	0
LOC100424053	0
INSM1	0
SLC24A3	0
BFSP1	0
MACROD2	0
SEL1L2	0
TASP1	0
LOC107000452	0
PLCB1	0
CHGB	0
PROKR2	0
PCNA	0
SMOX	0
RNF24	0
SPEF1	0
ATRN	0
GNRH2	0
SIRPA	0
SRXN1	0
TRIB3	0
COX4I2	0
BCL2L1	0
TPX2	0
LOC107000431	0
MAP1LC3A	0
SAMHD1	0
NNAT	0
BPI	0
SLC32A1	0
MAFB	0
LOC107000402	0
ZHX3	0
EMILIN3	0
PTPRT	0
TOX2	0
SDC4	0
DBNDD2	0
PIGT	0
WFDC2	0
UBE2C	0
LOC114670496	0
